"No.","Time","Source","Destination","Protocol","Length","Interarrival jitter","Info"
"14646","2021-04-20 23:21:41,161950","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"14721","2021-04-20 23:21:41,981020","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"14800","2021-04-20 23:21:42,796364","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"14875","2021-04-20 23:21:43,613852","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"14945","2021-04-20 23:21:44,324222","192.168.62.128","192.168.62.1","RTCP","94","0","Sender Report   "
"14956","2021-04-20 23:21:44,431670","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15034","2021-04-20 23:21:45,248870","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15111","2021-04-20 23:21:46,065337","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15190","2021-04-20 23:21:46,886109","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15270","2021-04-20 23:21:47,704782","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15374","2021-04-20 23:21:48,834517","192.168.62.128","192.168.62.1","RTCP","94","0","Sender Report   "
"15426","2021-04-20 23:21:49,342235","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15660","2021-04-20 23:21:51,792349","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15740","2021-04-20 23:21:52,608237","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15811","2021-04-20 23:21:53,346719","192.168.62.128","192.168.62.1","RTCP","94","0","Sender Report   "
"15818","2021-04-20 23:21:53,430898","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15896","2021-04-20 23:21:54,246917","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"15977","2021-04-20 23:21:55,063495","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16057","2021-04-20 23:21:55,880105","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16139","2021-04-20 23:21:56,698177","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16251","2021-04-20 23:21:57,855567","192.168.62.128","192.168.62.1","RTCP","94","0","Sender Report   "
"16299","2021-04-20 23:21:58,341903","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16455","2021-04-20 23:21:59,982823","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16531","2021-04-20 23:22:00,797719","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16608","2021-04-20 23:22:01,617668","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16672","2021-04-20 23:22:02,368831","192.168.62.128","192.168.62.1","RTCP","94","0","Sender Report   "
"16679","2021-04-20 23:22:02,440749","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16753","2021-04-20 23:22:03,256731","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16825","2021-04-20 23:22:04,006960","192.168.62.128","192.168.62.1","RTCP","50","","Goodbye   "
"16835","2021-04-20 23:22:04,071849","192.168.62.1","192.168.62.128","RTCP","94","0","Sender Report   "
"16836","2021-04-20 23:22:04,071854","192.168.62.128","192.168.62.1","ICMP","122","0","Destination unreachable (Port unreachable)"
"16838","2021-04-20 23:22:04,079489","192.168.62.1","192.168.62.128","RTCP","60","","Goodbye   "
"16839","2021-04-20 23:22:04,079497","192.168.62.128","192.168.62.1","ICMP","78","","Destination unreachable (Port unreachable)"
